Day,Outlook,Temperature,Humidity,Wind,Play
D3,None,Mild,Normal,Weak,Yes
D4,None,Hot,High,Weak,No
D5,Sunny,Hot,Normal,Weak,Yes
D6,Sunny,Mild,Normal,Strong,Yes
D7,Sunny,Cool,Normal,Strong,Yes
D8,Overcast,Hot,High,Weak,Yes
D9,Sunny,None,Normal,Weak,Yes
D10,Overcast,Mild,High,Strong,No
D11,Sunny,Cool,Normal,None,Yes
D12,Sunny,Hot,High,None,No
D13,Sunny,Mild,High,Weak,No
D14,None,Hot,High,Strong,No
D15,Rainy,Cool,High,Strong,No
D16,Rainy,Cool,Normal,Weak,Yes
D17,Overcast,Cool,Normal,Weak,Yes
D18,Overcast,Cool,Normal,Weak,Yes
D19,Overcast,Cool,High,Weak,Yes
D20,None,Cool,High,Weak,No
D21,Rainy,Mild,High,Weak,No
D22,Rainy,Mild,High,Weak,No
D23,Overcast,Hot,Normal,Weak,Yes
D24,Overcast,Hot,High,Strong,No
D25,Sunny,Hot,Normal,Weak,Yes
D26,Rainy,Cool,High,None,No
D27,Sunny,Cool,High,Strong,No
D28,Rainy,Mild,Normal,Weak,Yes
D29,Rainy,Mild,High,Weak,No
D30,Overcast,Mild,Normal,Strong,Yes
D31,Sunny,Mild,Normal,Weak,Yes
D1,Overcast,Cool,Normal,Strong,Yes
D2,Rainy,Mild,Normal,Strong,No
D3,Rainy,Hot,High,Strong,No
D4,Sunny,Mild,Normal,Weak,Yes
D5,Rainy,Mild,Normal,Weak,No
D6,Overcast,Hot,Normal,None,No
D7,Sunny,Cool,Normal,Weak,Yes
D8,Sunny,Cool,Normal,Weak,Yes
D9,Overcast,Cool,High,Strong,Yes
D10,Sunny,Mild,None,Strong,No
D11,Overcast,Cool,Normal,Weak,Yes
D12,Sunny,Mild,Normal,Strong,Yes
D13,Sunny,Mild,High,None,No
D14,Sunny,Cool,High,Strong,Yes
D15,Overcast,Mild,High,Strong,Yes
D16,Sunny,Mild,Normal,Weak,Yes
D17,Rainy,Cool,High,Weak,No
D18,Rainy,Mild,High,Weak,No
D19,None,Cool,Normal,Weak,Yes
D20,None,Mild,High,Weak,No
D21,Sunny,Cool,Normal,Strong,Yes
D22,Rainy,Mild,Normal,Strong,No
D23,Overcast,Mild,Normal,Weak,Yes
D24,Sunny,Hot,Normal,Weak,Yes
D25,Overcast,Mild,None,Weak,Yes
D26,Sunny,Hot,Normal,Weak,Yes
D27,Overcast,Cool,Normal,Weak,Yes
D28,Rainy,Hot,Normal,None,No
D29,Rainy,Mild,Normal,Weak,No
D30,None,Cool,Normal,Strong,Yes
D1,None,Mild,High,Weak,No
D2,Overcast,Mild,High,Weak,Yes
D3,Rainy,Hot,Normal,Strong,No
D4,Overcast,Cool,Normal,Strong,Yes
D5,Sunny,Cool,Normal,Weak,Yes
D6,Rainy,Cool,Normal,Strong,Yes
D7,Overcast,Cool,High,Strong,Yes
D8,Sunny,Hot,High,Weak,No
D9,Rainy,Cool,Normal,Strong,Yes
D10,None,Mild,High,Weak,No
D11,Rainy,None,Normal,Weak,No
D12,Rainy,Mild,High,Weak,No
D13,Sunny,Mild,None,Weak,Yes
D14,Rainy,Mild,High,Weak,No
D15,Rainy,Mild,Normal,Weak,Yes
D16,None,Cool,Normal,Weak,Yes
D17,Overcast,Hot,High,Weak,No
D18,Rainy,Cool,Normal,Strong,No
D19,Sunny,Cool,High,Weak,Yes
D20,None,Hot,High,Weak,No
D21,Sunny,Cool,Normal,Weak,Yes
D22,Overcast,Mild,Normal,Strong,Yes
D23,Overcast,Cool,Normal,Strong,Yes
D24,Sunny,Cool,Normal,Strong,Yes
D25,Sunny,None,Normal,Weak,No
D26,Sunny,Hot,Normal,Strong,No
D27,Rainy,Mild,High,Strong,No
D28,Sunny,Mild,Normal,Weak,Yes
D29,Rainy,Mild,Normal,Weak,No
D30,Rainy,Mild,Normal,Weak,No
D31,Sunny,Mild,Normal,Strong,No
D1,Rainy,Cool,None,None,No
D2,Rainy,Cool,None,Weak,No
D3,Overcast,Cool,Normal,Strong,Yes
D4,Rainy,Cool,Normal,Weak,Yes
D5,Overcast,Mild,High,Strong,Yes
D6,None,Mild,High,None,No
D7,Overcast,Cool,High,None,Yes
D8,Sunny,Mild,Normal,Strong,No
D9,Overcast,Mild,Normal,Weak,Yes
D10,Overcast,Cool,Normal,Weak,Yes
D11,Overcast,Hot,Normal,Weak,Yes
D12,Overcast,Hot,Normal,None,Yes
D13,Overcast,Cool,Normal,Strong,Yes
D14,Sunny,Hot,Normal,Weak,Yes
D15,Overcast,Cool,Normal,Weak,Yes
D16,Sunny,Cool,Normal,Weak,Yes
D17,Sunny,Cool,High,Weak,Yes
D18,Overcast,Mild,Normal,Weak,Yes
D19,Sunny,Hot,Normal,Weak,No
D20,Overcast,Cool,Normal,Weak,Yes
D21,Rainy,Cool,High,Weak,No
D22,Rainy,Cool,High,Weak,No
D23,Sunny,Mild,Normal,Weak,Yes
D24,Overcast,Hot,Normal,Weak,Yes
D25,Sunny,Mild,High,Weak,Yes
D26,Sunny,Hot,High,Weak,No
D27,Overcast,Mild,Normal,Weak,Yes
D28,None,Cool,High,Weak,No
D29,Rainy,Cool,High,Strong,No
D30,Sunny,Mild,Normal,Strong,Yes
D31,Sunny,Hot,Normal,Weak,No
D1,Sunny,Mild,Normal,Strong,Yes
D2,None,Hot,Normal,Weak,No
D3,Rainy,Cool,High,Weak,No
D4,Rainy,Cool,Normal,Strong,No
D5,Overcast,Cool,Normal,Weak,Yes
D6,Sunny,Mild,High,Weak,Yes
D7,Rainy,Mild,Normal,Strong,No
D8,Rainy,Hot,Normal,Strong,No
D9,Overcast,Hot,Normal,Weak,Yes
D10,Sunny,Mild,Normal,Strong,Yes
D11,Overcast,Hot,High,Weak,Yes
D12,Overcast,Mild,High,Strong,Yes
D13,Sunny,Hot,Normal,Weak,No
D14,Sunny,Cool,Normal,Weak,Yes
D15,Sunny,Mild,Normal,Strong,Yes
D16,Rainy,Cool,Normal,None,Yes
D17,Overcast,Mild,Normal,Weak,Yes
D18,Overcast,Hot,Normal,Weak,Yes
D19,Overcast,Cool,Normal,Weak,Yes
D20,Overcast,Cool,Normal,Strong,Yes
D21,Rainy,Hot,Normal,Strong,No
D22,Rainy,Cool,Normal,None,No
D23,Rainy,Hot,High,Strong,No
D24,Sunny,Mild,High,Strong,No
D25,Rainy,Mild,Normal,Weak,Yes
D26,Overcast,Mild,Normal,Weak,Yes
D27,Sunny,Cool,Normal,Weak,Yes
D28,None,Cool,Normal,Weak,Yes
D1,Rainy,Mild,High,Strong,No
D2,Sunny,Mild,Normal,Weak,Yes
D3,None,Hot,Normal,Weak,No
D4,Rainy,Mild,High,Weak,No
D5,Sunny,Mild,High,Strong,No
D6,Rainy,Mild,High,Strong,No
D7,Overcast,Cool,High,Strong,Yes
D8,Sunny,Cool,Normal,Weak,Yes
D9,Rainy,Mild,High,Weak,No
D10,Rainy,Hot,Normal,Strong,No
D11,Sunny,Mild,High,Strong,No
D12,Overcast,Hot,Normal,Weak,Yes
D13,Overcast,Mild,High,Strong,No
D14,Overcast,Mild,Normal,Weak,Yes
D15,Overcast,Mild,Normal,Weak,Yes
D16,Sunny,Cool,High,Strong,Yes
D17,Overcast,Mild,High,None,Yes
D18,Overcast,Cool,Normal,Strong,Yes
D19,Sunny,Cool,High,Strong,Yes
D20,Rainy,Mild,High,Weak,No
D21,Overcast,Mild,Normal,Weak,Yes
D22,Rainy,Hot,High,Strong,No
D23,Overcast,Cool,Normal,Weak,Yes
D24,Overcast,Mild,Normal,Weak,Yes
D25,Sunny,Cool,Normal,Weak,Yes
D26,Sunny,Mild,Normal,Strong,Yes
D27,Overcast,Hot,Normal,Weak,Yes
D28,Overcast,Cool,None,Weak,Yes
D29,Rainy,Mild,Normal,Strong,No
D30,Sunny,Hot,High,Strong,No
D31,Rainy,Hot,Normal,Strong,No
D1,Sunny,Cool,Normal,Strong,Yes
D2,Sunny,Cool,Normal,None,Yes
D3,Rainy,Cool,High,Weak,Yes
D4,Overcast,Cool,High,Weak,Yes
D5,Overcast,Hot,Normal,Strong,Yes
D6,Overcast,Hot,Normal,Strong,No
D7,Rainy,Cool,Normal,Weak,Yes
D8,Overcast,Cool,High,Weak,Yes
D9,Rainy,Cool,Normal,Weak,Yes
D10,Sunny,Hot,High,Weak,No
D11,Overcast,Cool,Normal,Weak,Yes
D12,Overcast,Hot,Normal,Weak,Yes
D13,Rainy,Mild,Normal,Strong,No
D14,Rainy,Mild,High,Weak,No
D15,Overcast,Cool,Normal,Weak,Yes
D16,Overcast,Mild,High,Weak,Yes
D17,Rainy,Mild,Normal,Weak,Yes
D18,Overcast,Mild,Normal,Weak,Yes
D19,Overcast,Cool,Normal,Weak,Yes
D20,Sunny,Cool,High,Strong,Yes
D21,Rainy,Cool,Normal,Strong,Yes
D22,Overcast,None,High,Weak,No
D23,Rainy,Hot,High,Weak,No
D24,Rainy,Cool,High,Weak,No
D25,Overcast,Cool,None,Weak,Yes
D26,Overcast,Cool,Normal,Weak,Yes
D27,Sunny,Cool,High,Weak,Yes
D28,Overcast,Cool,Normal,Weak,Yes
D29,Sunny,None,Normal,Weak,No
D30,None,Mild,Normal,Weak,No
D1,Overcast,Hot,Normal,Weak,Yes
D2,Rainy,Mild,Normal,None,No
D3,Overcast,Cool,Normal,Strong,Yes
D4,Sunny,Mild,Normal,None,Yes
D5,Overcast,Cool,Normal,Weak,Yes
D6,Overcast,Cool,High,Strong,Yes
D7,Rainy,Mild,Normal,Weak,Yes
D8,Rainy,Hot,High,Weak,No
D9,Rainy,Hot,Normal,Weak,No
D10,Overcast,Mild,Normal,Strong,Yes
D11,Sunny,Hot,Normal,Weak,No
D12,None,Cool,Normal,Strong,No
D13,Sunny,Cool,Normal,Weak,Yes
D14,Overcast,Hot,High,Weak,Yes
D15,Rainy,Cool,Normal,Strong,Yes
D16,Rainy,Cool,High,None,No
D17,Overcast,Mild,Normal,Weak,Yes
D18,Overcast,Mild,Normal,Strong,Yes
D19,Rainy,Cool,Normal,Strong,Yes
D20,Sunny,Mild,Normal,Weak,Yes
D21,Rainy,Cool,High,Weak,No
D22,Overcast,Cool,Normal,Strong,Yes
D23,Sunny,Mild,Normal,Strong,Yes
D24,Rainy,Mild,Normal,Weak,No
D25,None,Mild,Normal,Strong,No
D26,Sunny,Mild,High,Weak,No
D27,Rainy,Cool,Normal,Weak,Yes
D28,Sunny,Hot,High,Weak,No
D29,Overcast,Mild,High,Strong,Yes
D30,Overcast,Cool,Normal,Weak,Yes
D31,Sunny,Mild,Normal,Weak,Yes
D1,Sunny,Cool,Normal,Strong,Yes
D2,Sunny,Cool,Normal,Weak,Yes
D3,Overcast,Cool,Normal,Weak,Yes
D4,Overcast,Cool,Normal,Weak,Yes
D5,Sunny,Hot,Normal,Weak,No
D6,Overcast,Cool,Normal,Weak,Yes
D7,Overcast,Mild,None,Weak,Yes
D8,Sunny,Cool,High,Weak,Yes
D9,Sunny,Mild,Normal,Strong,Yes
D10,Rainy,Mild,High,Strong,No
D11,Sunny,Cool,High,Weak,Yes
D12,Rainy,Mild,High,Weak,No
D13,Overcast,Cool,Normal,Weak,Yes
D14,Rainy,Mild,Normal,Weak,No
D15,Overcast,Hot,Normal,Weak,Yes
D16,Sunny,Mild,High,Weak,Yes
D17,Rainy,Mild,Normal,Strong,No
D18,Overcast,Hot,Normal,Weak,Yes
D19,Overcast,Cool,High,Weak,Yes
D20,Overcast,Mild,Normal,Weak,Yes
D21,Rainy,Cool,Normal,Strong,Yes
D22,Sunny,Cool,High,Strong,Yes
D23,Sunny,Mild,High,Strong,No
D24,Overcast,Hot,Normal,Weak,Yes
D25,Rainy,Mild,Normal,Weak,Yes
D26,Overcast,Cool,Normal,Weak,Yes
D27,Rainy,Hot,Normal,Strong,No
D28,Rainy,Mild,Normal,Weak,Yes
D29,Sunny,Hot,Normal,Strong,No
D30,Rainy,Mild,Normal,Weak,Yes
D1,Sunny,Hot,Normal,None,No
D2,Sunny,Hot,Normal,Weak,Yes
D3,Sunny,Mild,High,Weak,Yes
D4,Overcast,Hot,High,Strong,No
D5,Rainy,Cool,Normal,Weak,Yes
D6,Overcast,Hot,High,Weak,Yes
D7,Rainy,Hot,High,Weak,No
D8,Rainy,Hot,High,Weak,No
D9,Sunny,Mild,High,Weak,No
D10,Overcast,Cool,Normal,Weak,Yes
D11,Sunny,Hot,Normal,Weak,No
D12,Overcast,Cool,High,Weak,Yes
D13,Sunny,Cool,Normal,Strong,Yes
D14,Rainy,Mild,High,Weak,No
D15,Sunny,Cool,Normal,Weak,Yes
D16,Overcast,Cool,High,Weak,Yes
D17,Sunny,Mild,High,Weak,Yes
D18,Overcast,None,Normal,Weak,Yes
D19,Overcast,Cool,Normal,Weak,Yes
D20,Sunny,Mild,Normal,Weak,Yes
D21,Sunny,Cool,High,Weak,Yes
D22,Sunny,Mild,Normal,Weak,Yes
D23,None,Hot,Normal,Strong,No
D24,Sunny,Cool,High,Weak,Yes
D25,Overcast,Cool,Normal,Weak,Yes
D26,None,Cool,Normal,Weak,Yes
D27,Rainy,Hot,Normal,Strong,No
D28,Overcast,None,Normal,Weak,Yes
D29,Overcast,Mild,Normal,Weak,Yes
D30,Sunny,Cool,Normal,Strong,Yes
D31,Overcast,Mild,Normal,Weak,Yes
D1,Rainy,Cool,Normal,Weak,Yes
D2,Rainy,None,High,Strong,No
D3,Overcast,Cool,Normal,Weak,Yes
D4,Overcast,Cool,High,Weak,Yes
D5,Overcast,Hot,Normal,Strong,Yes
D6,Sunny,Cool,Normal,Weak,Yes
D7,Rainy,Cool,High,Weak,Yes
D8,Sunny,Cool,High,Strong,No
D9,Overcast,Mild,High,Weak,Yes
D10,Overcast,Cool,Normal,Weak,Yes
D11,Overcast,Cool,Normal,None,Yes
D12,Sunny,Mild,Normal,Strong,Yes
D13,None,Hot,Normal,Weak,No
D14,Rainy,Mild,High,Strong,No
D15,Sunny,Mild,High,Weak,No
D16,Overcast,Hot,High,Strong,No
D17,Overcast,Mild,High,Weak,Yes
D18,Sunny,Mild,Normal,Strong,No
D19,Rainy,None,Normal,Weak,No
D20,Rainy,Cool,Normal,Weak,Yes
D21,None,Mild,High,Weak,No
D22,Rainy,Mild,High,Weak,No
D23,Rainy,Mild,Normal,Weak,No
D24,Overcast,Cool,Normal,Weak,Yes
D25,None,Cool,Normal,Weak,Yes
D26,Overcast,Cool,Normal,Weak,Yes
D27,Rainy,Hot,High,Weak,No
D28,Overcast,Hot,Normal,Weak,Yes
D29,Overcast,Mild,High,Weak,Yes
D30,Overcast,Cool,High,Weak,Yes
D31,Sunny,Cool,Normal,Weak,Yes
D1,Overcast,Mild,Normal,Weak,Yes
D2,Sunny,Hot,Normal,Weak,Yes
D3,Rainy,Hot,High,Weak,No
D4,Rainy,Mild,High,Weak,No
D5,Rainy,Mild,High,Strong,No
D6,Rainy,Cool,Normal,Strong,Yes
D7,Sunny,Cool,Normal,Strong,Yes
D8,Overcast,Hot,High,Strong,No
D9,Overcast,Cool,High,Weak,Yes
D10,Overcast,Cool,Normal,Strong,Yes
D11,None,Cool,Normal,Weak,Yes
D12,Rainy,None,Normal,Strong,No
D13,Overcast,Mild,High,None,No
D14,Rainy,None,High,Strong,No
D15,Sunny,Cool,Normal,Weak,Yes
D16,Sunny,Hot,High,Weak,No
D17,Sunny,Mild,Normal,Weak,Yes
D18,None,Mild,High,Strong,No
D19,Rainy,Mild,Normal,Strong,No
D20,Rainy,Mild,Normal,Weak,No
D21,Sunny,Hot,Normal,Weak,Yes
D22,Sunny,Mild,Normal,Weak,Yes
D23,Sunny,Mild,Normal,Strong,No
D24,Overcast,Cool,Normal,Weak,Yes
D25,Overcast,Cool,Normal,Weak,Yes
